SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,n_SepalLengthCm,n_SepalWidthCm,n_PetalLengthCm,n_PetalWidthCm,n_Species
6.381064015104494,2.81812834810199,4.907052452071873,1.6483845085777598,Iris-versicolor,6.381179666394627,2.818328167058898,4.907616784478336,1.6502962906175809,Iris-virginica
6.700602824373741,3.0158116499888394,2.449471260890077,0.13907678192645717,Iris-setosa,6.6997547353154765,3.014796073604565,2.451561672396603,0.13808679094784726,Iris-versicolor
5.496698026214028,2.5503937374276995,2.4475861208070113,1.5422784673432128,Iris-setosa,5.493642106571394,2.5510527275524826,2.451140924880098,1.54223047967708,Iris-versicolor
6.304889558324022,4.145214374373926,3.167750426170365,1.6494459155135552,Iris-versicolor,6.304781636879466,4.145525749031837,3.1685468734103033,1.6506017431056297,Iris-virginica
5.16598691591415,3.4715463900030774,2.4498081040353186,1.4998243800024418,Iris-setosa,5.167994789434404,3.47165008129321,2.454199890504085,1.4994054131607022,Iris-versicolor
5.683912579135429,2.6736571563486655,2.448473684943304,1.5070618357149517,Iris-setosa,5.68740559566326,2.673133704246577,2.4516284399723434,1.5088565928775748,Iris-versicolor
6.941851434944986,4.317041954372979,2.4480862315017835,0.23361382122876115,Iris-setosa,6.939886535162053,4.318043944065343,2.4509940458429793,0.23584973385433178,Iris-versicolor
5.64944901863283,3.145122061634442,2.4492816941224973,1.2106983571071401,Iris-setosa,5.650169397521338,3.1443328019109837,2.452922637454704,1.211324936290611,Iris-versicolor
5.813798618491925,2.262895946633778,2.4469855214437644,1.7244522397576314,Iris-setosa,5.8125813089041865,2.26213197628502,2.450750176258175,1.723370086180568,Iris-virginica
6.10241485177318,2.4033497744061507,4.948822150922563,1.09221237230778,Iris-versicolor,6.101839055499767,2.4021911182034965,4.952681856688862,1.0933574685273406,Iris-virginica
6.4919100586821115,3.202685297857075,4.526433394454126,1.6490677836471204,Iris-versicolor,6.493353145203476,3.2029417028855924,4.52669841271453,1.6500391232573504,Iris-virginica
4.7403103979309655,2.3314229115715293,2.448243661803053,0.10563366130698172,Iris-setosa,4.736960334356577,2.331523673393571,2.4534899829247214,0.1036969909491406,Iris-versicolor
7.163974208532992,2.2096982054895227,4.94815542100066,0.3740488460836227,Iris-versicolor,7.161604009765179,2.210964884337005,4.953570884242605,0.3716564816658485,Iris-virginica
4.427667524504962,2.4475771091750236,4.452372912540357,1.7511624295193031,Iris-versicolor,4.426851080453742,2.4477111813654133,4.455628033811604,1.7498089600410869,Iris-virginica
4.403472741879033,4.186454433845473,2.449348712410388,1.7252962010527486,Iris-setosa,4.402732786456593,4.18486356166059,2.450700128045915,1.723331047857605,Iris-virginica
4.849392819988005,3.629109030623462,2.4468918810780593,1.1633675546976554,Iris-setosa,4.8462239435785746,3.6267700960333538,2.4503423167858394,1.1657165608898763,Iris-versicolor
6.303558710551087,2.6997216685389223,5.241881253311758,1.7499225586883682,Iris-versicolor,6.302850858292218,2.700011346324124,5.241760814666188,1.7509377852231616,Iris-virginica
5.323968090316738,3.130007948169405,2.4445816638921185,0.2167660872516167,Iris-setosa,5.324556594157298,3.1276704580041477,2.450306492327795,0.21764596832926755,Iris-versicolor
6.069608090379365,3.372183737692311,2.4485432892935575,0.09861636466379307,Iris-setosa,6.070449586573445,3.371010386188204,2.4524428839001624,0.09993917649615745,Iris-versicolor
4.805025526734187,3.496967675407445,4.94607306752949,0.19134947296538557,Iris-versicolor,4.808261868791092,3.4982764242661744,4.95075265305927,0.19310092894433598,Iris-virginica
5.049791513542665,3.4297070864718746,2.447703345186511,0.10445727046165475,Iris-setosa,5.050944807739151,3.428605759256966,2.453054400991308,0.1033002044190556,Iris-versicolor
5.296138497786814,2.5497586471050586,2.446062359164082,0.22863507813608272,Iris-setosa,5.298102503469177,2.548955411541705,2.4511970954500875,0.2282652415543064,Iris-versicolor
5.482818657961518,3.321617971905999,3.5467667959697917,1.6491288491247995,Iris-versicolor,5.484709485085976,3.3207362663414433,3.5486970950560455,1.6505974745589642,Iris-virginica
6.434486240247163,3.0770988758453837,4.952358018268466,1.6878017376180225,Iris-versicolor,6.43713199572135,3.0781171827359417,4.948657798996781,1.6889064060719,Iris-virginica
5.486191898268289,3.7096383364757277,2.4489105032504046,0.32364750603293674,Iris-setosa,5.489720968599573,3.710028295381034,2.450945971448049,0.32564064551339955,Iris-versicolor
4.697092819737695,2.8363793541654667,4.8479406460644965,2.1760234324033036,Iris-versicolor,4.695579963320845,2.8358414534421743,4.852634295813645,2.1758438838618126,Iris-virginica
6.206131428843301,3.0125505907128893,4.900033318535222,1.6494624866298442,Iris-versicolor,6.20676069702058,3.0125060129947334,4.900441166417956,1.6512800805587344,Iris-virginica
6.782971975059873,2.9404854301952064,4.698778611217068,1.649234447166834,Iris-versicolor,6.785350203203495,2.940514485126011,4.699176560527021,1.6508401072036614,Iris-virginica
5.506635101460867,3.0188230653189905,2.448209113454554,0.49139857106981627,Iris-setosa,5.50577590468178,3.0174000991492216,2.451224521150814,0.49202834867704776,Iris-versicolor
6.817444442323533,2.605630514691203,2.449615626727752,0.2515968896995634,Iris-setosa,6.815370429783033,2.6060758213955375,2.4515829734059973,0.24986917783663565,Iris-versicolor
5.393391767118397,4.39257182597981,3.0241244788659603,1.7511878996660462,Iris-versicolor,5.395669661787466,4.3921220783627914,3.0244141583856035,1.7499342997213412,Iris-virginica
6.673182925887052,2.4420722501166727,2.7234432113943585,1.6495495409795289,Iris-versicolor,6.671064353230754,2.443400576688834,2.7226442564445117,1.6503777903504078,Iris-virginica
5.94901725795781,3.9601122096594024,2.4906620854656767,2.030560241810047,Iris-versicolor,5.951768815597216,3.9611017386913487,2.4857110048636515,2.0322491171316153,Iris-virginica
6.17509762437127,3.2704339257887813,2.445693032500458,1.5938468943223607,Iris-setosa,6.176454871097945,3.2715072215181884,2.451089996141196,1.5954666672888291,Iris-versicolor
5.793152249211656,2.8772078367082052,4.849983849419476,2.0539705884110595,Iris-versicolor,5.794336112030512,2.875743767784495,4.8510457175536486,2.055004694878911,Iris-virginica
4.395418256714332,3.3027909726678946,2.4493150558856907,0.8168294102537276,Iris-setosa,4.392958044863899,3.301601265148853,2.451845111690451,0.8188635448118184,Iris-versicolor
7.730373787723411,2.683033729349757,4.494637379334162,1.6499451132001066,Iris-versicolor,7.730524114105807,2.6821058063202257,4.493829477878447,1.6515319797991719,Iris-virginica
5.58722560232615,2.538892249934481,4.638273864989667,1.6495080721639863,Iris-versicolor,5.588173736832907,2.5388870511251684,4.635970940350076,1.6500510648530284,Iris-virginica
