x1,x2,class,DT_d2,DT_d3,DT_d4,DT_d5
-13.140672107507662,9.22427886797783,0,1,1,1,1
7.0244054288505,-12.29258130935483,1,1,1,1,1
-10.624354771467663,-10.785011798213935,1,1,1,1,1
3.3714054499458577,9.984624715843275,1,1,1,1,1
-8.21874937841173,12.43902448597197,0,0,0,0,0
-18.66994625341303,-7.781270646545707,0,1,0,0,0
-7.812954831385177,-7.520546782692708,1,1,1,1,1
-11.503728311962163,-14.847312342440485,1,1,1,1,1
16.590044442563418,18.894792348146964,0,0,0,0,0
5.860191574431678,-7.6934701685695615,1,1,1,1,1
18.974311328473206,14.595176695502005,0,0,0,0,0
-1.5686574481291373,15.244289808801604,0,0,0,0,0
-14.964335037487398,12.741843885200822,0,0,0,0,0
11.74023730351255,-19.584538646416625,0,1,1,0,0
-14.775814104850934,-18.536817642011925,0,1,1,0,0
-16.712776137682177,5.655087242437258,0,1,0,0,0
3.8993418634463097,-19.218736804445268,0,1,1,0,0
-10.4942811425853,-2.675460375963681,1,1,1,1,1
-19.369909406978515,11.708753226966202,0,0,0,0,0
9.567053766370858,-6.609543760006392,0,1,1,1,1
-13.090409985982138,6.412166570132566,0,1,1,1,1
1.7566118057978244,-11.474888980870382,1,1,1,1,1
14.812790928400958,-2.012812385868216,0,0,0,0,0
15.253893688511525,-7.672683646409677,0,0,0,0,0
9.147603272684517,-7.734177074081693,1,1,1,1,1
-0.8250154006682067,2.7439613527581663,1,1,1,1,1
-17.289514244700523,9.94153437307737,0,1,0,0,0
-18.664443860830712,14.21943999620271,0,0,0,0,0
-14.670932920034057,0.6407070189646475,1,1,1,1,1
7.431543922168011,6.846985103222298,1,1,1,1,1
-17.353723413324055,-1.2660410674669151,0,1,0,0,0
2.2409898918019735,14.55348687428475,0,0,0,0,0
-6.406025893792657,13.968035638468436,0,0,0,0,0
17.177699439586988,-4.031991017668473,0,0,0,0,0
11.109783382659742,-11.045609044865756,0,1,1,1,1
15.286861558118787,-12.790036391413633,0,0,0,0,0
19.834019823518794,6.988856720990157,0,0,0,0,0
-2.452225941416767,-12.723973033290235,1,1,1,1,1
4.381633857376194,-2.7595256081173822,1,1,1,1,1
13.230329591570602,-10.031506035497596,1,1,1,1,1
16.473081804718483,-1.9269831585656476,0,0,0,0,0
-18.28819027203852,-15.794028337542203,0,1,0,0,0
-0.968473992238156,5.116830775784031,1,1,1,1,1
-8.93375177720737,-11.390419537914713,1,1,1,1,1
-8.771063236771447,-10.679298026244455,1,1,1,1,1
-10.808705964142877,14.440843638607923,0,0,0,0,0
-13.175560774578475,-13.599272196582234,1,1,1,1,1
12.249566190188943,3.2877431062940055,1,1,1,1,1
5.180371391039877,3.972003462231509,1,1,1,1,1
8.129115803692414,-2.853188787017288,1,1,1,1,1
18.504994322613847,0.9841821162806177,0,0,0,0,0
4.796814521399444,5.1845065226347415,1,1,1,1,1
7.058174683285618,15.265254851013218,0,0,0,0,0
6.5864309053828265,-4.8988931013282055,1,1,1,1,1
15.771378935392264,6.6550774331748315,0,0,0,0,0
14.760334649190987,-5.720048777891575,0,0,0,0,0
-4.443203570722588,-8.50948497563175,1,1,1,1,1
18.729698607089347,-12.548762842953437,0,0,0,0,0
-3.852741574043101,-16.176478601756493,1,1,1,1,1
-13.122780169525434,19.401162828543384,0,0,0,0,0
18.012468292656322,7.06061586017011,0,0,0,0,0
-8.451605237306246,-19.77319698408271,0,1,1,0,0
1.4940962805295328,-18.195407701164843,0,1,1,0,0
18.30211291677263,-7.970581238855825,0,0,0,0,0
9.6697653878206,-11.113516128583578,0,1,1,1,1
-0.810696716849236,8.032023766510754,1,1,1,1,1
-14.07145764216002,-6.06700526243805,1,1,1,1,1
11.54076630149326,14.058536877966375,0,0,0,0,0
-7.423977756481822,14.519994793142075,0,0,0,0,0
-7.531352871021721,-17.444868988289926,0,1,1,0,0
19.24239848009767,13.638034714799801,0,0,0,0,0
18.887659244750083,12.413229472137346,0,0,0,0,0
3.7788793238214815,11.08274439691413,0,0,0,0,0
4.872724907921704,-16.122856902482283,1,1,1,1,1
10.972774308681807,5.245310521306806,1,1,1,1,1
-4.248193128469687,13.95900171681275,0,0,0,0,0
12.211755408579698,-12.120285359497874,1,1,1,1,1
-18.04236850910145,16.935043947670614,0,0,0,0,0
-19.43714810608276,-10.463820905732168,0,1,0,0,0
8.50176022089017,-11.534089129972847,1,1,1,1,1
14.510449607990942,-18.744155856745945,0,0,0,0,0
-11.098553028066398,19.18398819748466,0,0,0,0,0
-6.087659167186823,-9.434732940120586,1,1,1,1,1
6.734209195251783,-6.44405891285389,1,1,1,1,1
-12.06606925936686,-11.797599817168534,1,1,1,1,1
-4.160615177470612,19.100294636978596,0,0,0,0,0
2.8550251613874345,19.110878404920484,0,0,0,0,0
-12.212094055659142,12.50400272634407,0,0,0,0,0
8.280975280506837,4.505723482197219,1,1,1,1,1
4.732791509619009,-3.131944670064975,1,1,1,1,1
0.6835860362923718,-11.874945840090788,1,1,1,1,1
-15.490629814923885,-0.2948277279437086,0,1,0,0,0
2.9059644352158323,-11.948985152155625,1,1,1,1,1
5.210586866947953,6.539821374296832,1,1,1,1,1
5.752517569465397,3.732847458337062,1,1,1,1,1
5.217701430371534,2.8287837924131054,1,1,1,1,1
4.425777156200375,4.63985074860237,1,1,1,1,1
-17.75431156994605,-16.79667520438665,0,1,0,0,0
-14.907902258931749,12.782213126658263,0,0,0,0,0
-10.688555555725197,10.096695956686041,0,0,0,0,0
