bc_id,output,distance,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,Iris-versicolor,1.5484116750044912,4.461029805246221,3.100235482965359,4.847100682324104,2.484784024564572
2,Iris-versicolor,1.6916867982722157,4.497921884209388,2.01857807321209,4.9490791592993375,0.28617492732974087
3,Iris-versicolor,1.489578041951332,7.520311524803444,2.3721076159203687,3.443332199725624,1.6498145598449099
4,Iris-versicolor,1.7943207613470387,5.995286117958193,4.174197925130147,6.23623708267373,1.550099516953428
5,Iris-versicolor,0.8713441422153907,6.813199792437529,2.2816987210654682,5.477492434500663,1.7497058230071871
6,Iris-versicolor,0.6288150791344413,5.694000838916089,2.0163649153157914,3.954968778232366,1.6490578350006198
7,Iris-versicolor,0.9273921636741507,6.0216247501247455,3.8743797007421628,4.044222744434087,1.750358225444753
8,Iris-versicolor,2.090490861095899,4.965555642643814,2.09174569280572,6.436539263354644,1.7485675165273953
9,Iris-versicolor,1.4924103581678128,7.719266772434359,4.0042870188760755,4.846653775922192,2.357618680195592
10,Iris-versicolor,1.827740454000834,7.715052421135961,2.046128032806685,4.949695837981061,0.18379717351632388
11,Iris-versicolor,1.962566261840333,7.610620388029603,4.358378730052067,4.947431194642004,0.17300405058720095
12,Iris-versicolor,1.938042803846724,4.805883396554189,4.153319908256278,4.949505717528982,0.168176479432799
1,Iris-virginica,1.2767883690277773,4.459536055899275,3.09885516089928,4.845615239583809,2.487091800515232
2,Iris-virginica,1.939119002367316,4.497977498307352,2.020701358981029,4.9536937578626485,0.2876392290168566
3,Iris-virginica,1.945067372869929,7.518915956682182,2.370434509981464,3.444721032503851,1.6501994851145014
4,Iris-virginica,1.347723730907292,5.996044527337566,4.175005005308142,6.232965172607343,1.5498866796110589
5,Iris-virginica,0.6318360249728665,6.814085228089502,2.281311455576906,5.473949015241977,1.7510307776861433
6,Iris-virginica,1.1159240330687004,5.695892245867975,2.0182391487846183,3.9526710477969904,1.6512282390953996
7,Iris-virginica,1.227226710339581,6.02382770233408,3.8734549961344142,4.042797824565799,1.7493642438793764
8,Iris-virginica,1.6795022396941004,4.9670519420811,2.09186425820441,6.433341646956941,1.7500562925414225
9,Iris-virginica,1.3624020867105162,7.7198915201232,4.003819610767323,4.8518771285597,2.358047999604109
10,Iris-virginica,2.0780635088898105,7.712056292997838,2.0466228041263292,4.95430737361026,0.18256255110998942
11,Iris-virginica,2.2946192914604118,7.6116016586021855,4.36002501577842,4.950747801403932,0.17234108183323377
12,Iris-virginica,2.30167251938648,4.80632852418689,4.153295781898905,4.953013278884141,0.16692659411630598
13,Iris-setosa,2.383221952821094,6.166481269032733,2.822694482301851,2.4477808727847,2.3724539917414575
14,Iris-setosa,2.2692552877394494,4.39323502469065,2.2258144098169605,2.4488759936950197,2.2132754870480804
13,Iris-virginica,2.4272904389540453,6.1663656350775025,2.822874793931934,2.453316472996308,2.370757773462473
14,Iris-virginica,2.797472958482596,4.394040778249954,2.22601303701816,2.451036678825637,2.2112697962012224
15,Iris-setosa,1.1059640480051192,4.300152838213595,4.215736084216837,2.448011358338062,0.11300872243150324
16,Iris-setosa,1.544478328121184,6.912659075962584,4.393779240257436,2.4495961819261898,0.3200760903205777
17,Iris-setosa,2.691441181412189,7.579497162535067,2.0366317994270866,2.4493508254782594,0.09912198082575202
18,Iris-setosa,3.1941824762424558,7.901650583520886,3.9941153544855355,2.4478769082693708,2.4717923208955637
19,Iris-setosa,1.315525396427496,5.045744004224402,2.0303920321675117,2.4491802412408736,0.1013373026417895
20,Iris-setosa,2.1873660322356137,4.398992659754681,4.3788791272365515,2.4481368197053026,2.312190337175605
15,Iris-versicolor,2.27437330798906,4.2983230158976236,4.216361066532602,2.4500028987955966,0.11168915641920288
16,Iris-versicolor,2.4998081686567546,6.913021688821148,4.393681063694331,2.4514610409641575,0.3211085833058918
17,Iris-versicolor,2.3983611760234145,7.578353181278416,2.0372766091798145,2.4515475672759255,0.10110315454081513
18,Iris-versicolor,2.763443739258636,7.9032085662367,3.996169632120222,2.4509257319507602,2.4709922010009304
19,Iris-versicolor,1.2664950891411186,5.043646348469305,2.030187248947756,2.4503799022018433,0.1014169065295425
20,Iris-versicolor,2.444784610786447,4.399458972883237,4.380013020592173,2.450996804329703,2.31243575132684
