bc_id,output,distance,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,Iris-setosa,1.0167944286716926,5.566463102171015,2.832957848307222,2.44877300744918,0.3063671093319188
2,Iris-setosa,0.9534009666493386,5.440525399123141,2.8422359366791596,2.449356786455859,0.38626527184147125
3,Iris-setosa,1.666917392194656,6.1538802404573945,3.053354684631459,2.447942674597678,1.5065275994676854
4,Iris-setosa,0.8978193981424616,5.495280989606528,3.018737264239124,2.4490391331136787,0.40169302429027864
5,Iris-setosa,1.9585203169767251,5.842530198488431,3.2346622467434036,2.446598299691491,2.1293174596210807
1,Iris-versicolor,1.2826561525077282,5.565925644397514,2.8315959212645208,2.453716346845935,0.3079850296908824
2,Iris-versicolor,1.257366421076091,5.439752307570857,2.8418646201986415,2.451500120938221,0.3880838489053502
3,Iris-versicolor,1.3264904708033165,6.152972062503154,3.0515400871097227,2.4535359948942266,1.5053888754954659
4,Iris-versicolor,1.2939683563336144,5.4957462673067825,3.020495530332487,2.4529394346295876,0.4004316541959575
5,Iris-versicolor,1.5668253220860389,5.843027054617888,3.234935060440435,2.4507799543747137,2.1300874644682644
6,Iris-versicolor,0.6162022498111208,7.1718881679613835,3.2209170673837555,4.949393237927052,0.9626719738769588
7,Iris-versicolor,1.1106734693900997,7.4390424589996735,2.66858234038334,3.801707276613101,1.6486191055396267
8,Iris-versicolor,0.36023349000755417,6.2492963764990375,3.0121835638221954,4.949195533665493,1.2189335821270781
9,Iris-versicolor,0.35741977628869814,6.654110494404193,2.837939110866548,4.946955554777943,1.2756845743139895
10,Iris-versicolor,0.49561937497843983,6.585090594537028,2.5304738036149623,5.09790323813809,1.7489336311798027
6,Iris-virginica,1.1173795901662418,7.173808848978567,3.2189058862435114,4.954891116949305,0.9629185215471043
7,Iris-virginica,1.6044157846572304,7.439470970518006,2.6680828430745587,3.800980839278572,1.6502658905907195
8,Iris-virginica,0.6019844585676168,6.252693523019848,3.013036078602048,4.952703723967962,1.220239398959084
9,Iris-virginica,0.6502726545501997,6.652499217626099,2.83927267931122,4.9514354355877135,1.2741137541329612
10,Iris-virginica,0.3551254070380752,6.582514476294883,2.5291762676817857,5.096895448178843,1.7504329107953043
