bc_id,output,distance,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,Iris-versicolor,2.9391561679454425,4.310195501971066,4.388680980844288,6.836768297126612,1.749086721109289
2,Iris-versicolor,1.5250007276752613,4.302715342835739,2.2915658865732693,4.9484638184400715,0.8530108880008729
3,Iris-versicolor,1.988682749127135,6.58159181586189,2.0579584659969883,6.80204892000239,1.749748501596048
4,Iris-versicolor,1.6528704781159989,7.821866295164091,4.222416875815369,4.844956162054201,2.2869522755903993
5,Iris-versicolor,1.699806517611522,6.02127605308586,4.238567044340046,4.946349196881184,0.23249894508048055
1,Iris-virginica,2.6236919707976334,4.311613438051309,4.389086346482161,6.83679508897179,1.7502888757396355
2,Iris-virginica,1.8049141274416445,4.303479380201011,2.2927112222168744,4.950870346211896,0.8524723995972626
3,Iris-virginica,1.218118431706077,6.581888044168761,2.0570555789260236,6.805048908920274,1.750019652532174
4,Iris-virginica,1.5417741540291636,7.81908797823308,4.221359029074472,4.8501784729352755,2.2863256573360977
5,Iris-virginica,1.998989473984067,6.021095789303425,4.238154117527692,4.951099186134562,0.23344444814138363
6,Iris-setosa,3.168083556767766,7.511177949935538,2.2097197368621755,2.449308061352688,2.2060255220244342
7,Iris-setosa,2.2492799940545085,4.36778124488677,2.6606820493335186,2.4483585069643286,2.3852979311832954
6,Iris-virginica,2.8038874974384176,7.511187036076341,2.2103080398338735,2.452656130571462,2.2068425135740912
7,Iris-virginica,2.7721897989083426,4.36712333548505,2.6593291373558374,2.4512079250094443,2.3855910957638455
8,Iris-setosa,1.6252895727950492,5.77504546960764,2.006924896892254,2.4482329507795497,0.18009272413992086
9,Iris-setosa,2.395861071388199,7.895054867623855,4.357815138012003,2.4475600809364426,0.5277731299103956
10,Iris-setosa,1.1544815493704588,4.430522663389413,4.342635778610961,2.446632620901241,0.29457648871209585
8,Iris-versicolor,1.4408819654486007,5.77388112721705,2.0070431915187683,2.4509382050248956,0.18114762260195152
9,Iris-versicolor,2.821579972822684,7.896259456214639,4.357073243573576,2.45181707317404,0.5254214919663975
10,Iris-versicolor,2.2816972449965833,4.429348645027795,4.341023570179861,2.450503969972433,0.29614375412201266
