age,fnlwgt,educationalnum,gender,capitalgain,capitalloss,hoursperweek,income,n_age,n_fnlwgt,n_educationalnum,n_gender,n_capitalgain,n_capitalloss,n_hoursperweek,n_income
63.86275238212596,341134.60029986734,12.496550164464647,0.012728917566861802,2201.034563693682,153.3112335212747,56.367515645930204,<=50K,63.864508206063284,341134.56682154996,12.507863141096045,0.011827996835223438,2201.0476600507723,153.37146442258774,56.33613000101547,>50K
33.49890910081775,1.0864228901350386e6,15.614165508642026,0.07942186250159633,2717.453893360516,74.65765850855267,55.06490420873231,<=50K,33.50259465862444,1.0864228906990637e6,15.616614758257198,0.08007383130725476,2717.452076857975,74.65743609236155,55.064289973843685,>50K
38.748873817636444,107355.3714846148,14.498018514221364,0.9952479269289638,1810.2536420116098,58.99213180323319,50.9021762547639,<=50K,38.7504449934094,107355.37450967489,14.504085536916975,0.9943823195074251,1810.2510442455625,58.98994988861768,50.901526816142294,>50K
70.25616108015217,234929.00098813785,12.499564020871095,0.0008767307039231621,1643.6129182015243,47.481453764190135,88.77575548853437,<=50K,70.25203954439027,234929.01585591584,12.50263154105456,0.00021976175329364628,1643.6300405504373,47.48918690117269,88.77581368149437,>50K
33.1235320358967,152910.7502726579,15.131581123036,0.4993381384787458,489.9819559621851,75.27743844788903,96.35675315743289,<=50K,33.1231072903894,152910.75060723745,15.13160439933032,0.5003331601467648,489.98167303704696,75.27754842556523,96.3567290383996,>50K
51.422882211602406,154149.3796449962,14.04921395565293,0.5000635596773187,534.3834272376787,74.72772365578624,33.30085979665771,<=50K,51.425125222923036,154149.37698085603,14.050083523408443,0.4996466851902849,534.3661958878197,74.73562607457383,33.30402604964767,>50K
43.89834819803946,52908.09067427956,12.497565591157,0.007613184952310689,692.9627919596953,74.16541972623567,51.28150217417069,<=50K,43.895505944596785,52908.08891351921,12.505122608617835,0.008004029889008387,692.960916753909,74.16423034365293,51.279908773005346,>50K
36.07352026746562,174748.0457178004,5.08322986894954,0.49914113873857163,-1.560597065503467,1923.2897647325515,12.575043933147564,<=50K,36.07627576029567,174748.0464268506,5.083241076526244,0.5000066067131028,-1.5578501529191013,1923.2919851034135,12.574236337730099,>50K
82.87282158479246,59939.669501703174,12.49623882568908,0.011265430620528134,785.9595977636124,-3.8440904419511868,58.062330967024096,<=50K,82.87557084329318,59939.67523583595,12.51023988202035,0.011931032181966427,785.9512380291321,-3.8494416118500574,58.042022882272484,>50K
56.04152065710374,122316.35597018054,12.493928077686977,0.0016286304329894059,1755.9463718500479,35.12771051895984,40.898768890837076,<=50K,56.05337424684417,122316.33640039744,12.501913045549284,0.0025421823556964203,1755.930897439832,35.13810095820279,40.90212711137054,>50K
