Pclass,Sex,Age,SibSp,Parch,Fare,Survived,n_Pclass,n_Sex,n_Age,n_SibSp,n_Parch,n_Fare,n_Survived
1,0.0,1,0,0,12.64,0,2,0.0,1,0,0,12.64,1
2,0.0,56,1,0,37.18,0,1,0.0,56,1,0,37.18,1
1,0.0,33,1,1,106.21,0,1,1.0,33,1,1,106.21,1
2,0.0,26,0,0,27.03,0,1,0.0,26,0,0,27.03,1
1,0.0,18,0,0,78.21,0,1,0.0,17,0,0,78.21,1
3,0.0,10,0,0,6.08,0,3,0.0,9,0,0,6.07,1
3,0.0,10,0,0,28.3,0,3,0.0,9,0,0,28.3,1
3,0.0,9,3,0,162.44,0,3,0.0,9,2,0,162.44,1
3,1.0,7,0,1,281.53,0,3,0.0,7,0,1,281.53,1
3,0.0,10,0,0,0.32,0,3,0.0,9,0,0,0.31,1
