age,fnlwgt,educationalnum,gender,capitalgain,capitalloss,hoursperweek,income,n_age,n_fnlwgt,n_educationalnum,n_gender,n_capitalgain,n_capitalloss,n_hoursperweek,n_income
45.08279751798949,452942.987882641,13.360383552811175,0.5000524474663386,-20.97261271873682,188.76960010561854,91.04135165813955,<=50K,45.08415501839753,452942.9820982373,13.363751698543597,0.499538705231467,-20.973481653830873,188.7731762790178,91.04088150775392,>50K
35.25652667970121,1.13809946125542e6,12.496852561517919,0.010235439086747778,1176.5618642570762,52.423262227958645,77.37629793721607,<=50K,35.247875109809144,1.1380995308061175e6,12.502599838542286,0.010680447336757994,1176.5662567355505,52.42100806950298,77.38238836392249,>50K
35.49240071076808,1.4804462179367354e6,14.198155788879308,0.5000150077808676,364.4059186836129,22.135659629984506,80.37138713413515,<=50K,35.489941555425425,1.4804462534990553e6,14.198185434937242,0.49986721969779857,364.4053473786029,22.13577646925686,80.37090903613715,>50K
34.290181406358435,627244.9185645443,12.491036892281716,0.03026900653929038,614.2026342188543,22.34373334172651,61.60692521820886,<=50K,34.29315210830642,627244.9197709855,12.50015151270791,0.03058038567668538,614.1921472987353,22.34322210490155,61.605792845377735,>50K
56.068765070120726,969101.9634062599,8.504831325013864,0.02170461312605729,806.0870514587225,2526.766707433391,46.20912826574818,<=50K,56.06604126022254,969101.9623969172,8.491743630123837,0.02231130614618665,806.0818328703388,2526.768969741521,46.212309875196546,>50K
38.92517379606731,11003.990852428724,12.497096111370738,0.010633108109473703,1017.1337150579512,17.895428124636695,57.38728577355188,<=50K,38.91765265188585,11003.975110082287,12.502163283422313,0.010751652481420796,1017.1381971654238,17.890640160539352,57.40421923514186,>50K
50.641002616271294,174113.66058046094,12.93539581376935,0.5007710912921441,84.3454962356379,-0.8394643689656185,41.801175225493736,<=50K,50.64483449249078,174113.65643984196,12.940530328898632,0.49989175464414853,84.34651597568974,-0.8390645202502965,41.801841292896185,>50K
47.57962215465747,309674.5311283053,1.4940019580567598,0.07580730300350719,90013.84452627509,64.48726974033306,18.201312859994214,<=50K,47.58522842511987,309674.5283944535,1.5034873655993295,0.0758194291832528,90013.84037306679,64.49047358002241,18.19661322418668,>50K
40.929598795072785,1.306533650894922e6,12.814741982489842,0.5007637089558508,64.06632169852405,83.22085680130883,73.35701999363025,<=50K,40.931136600060654,1.306533650349848e6,12.812273032037956,0.49992872204344924,64.06564113515637,83.22096683497246,73.36094001412903,>50K
48.75768874935958,799078.9534855221,12.497622482198821,0.46075477297535067,6780.602341040391,74.0581123054498,67.97373165422296,<=50K,48.75158718927591,799078.9585408531,12.500763509350147,0.46173408162466634,6780.599654393496,74.05818373645364,67.9567706025625,>50K
