buyingprice,maintenancecost,doors,capacity,luggageboot,safety,decision,n_buyingprice,n_maintenancecost,n_doors,n_capacity,n_luggageboot,n_safety,n_decision
0.10153654137678164,2.9921669783731972,0.01759905805882659,1.5004016503290003,1.1382521828774748,1.9123295895793726,acc,0.10355914873902533,2.9948040674399063,0.018118622059796134,1.4991441334514108,1.1395750040959587,1.9113609013246242,unacc
0.6787209686583139,0.7594296934784716,1.8222994091831823,2.918257702450135,1.1983760306871447,0.500799290911862,acc,0.677967840103626,0.7590107918602854,1.8207056779782054,2.9182215065098993,1.1973586956324704,0.49881447832051734,unacc
0.032321127276552106,0.006786828797856113,1.9765511034734733,2.9891523788200383,1.9738301060679952,1.4986951750021622,good,0.031981945421146435,0.0062986871312378095,1.9783427928180697,2.989381610289213,1.9744093597533119,1.50050232454532,vgood
0.43930608512145236,1.0985780790255006,0.5017105445403243,2.701519306965034,0.025321192019592,1.1359559946631874,acc,0.43969939354734794,1.0965601671112857,0.49941512459098075,2.7030274877485736,0.027195193443889855,1.1356666445204766,unacc
0.018385835043648453,0.21095990306912493,2.2386184236779436,2.9884371142638315,1.9548800945654763,1.499417790316437,good,0.019096433626694047,0.21062764757963826,2.2359612718127013,2.98956339343828,1.9530499001371031,1.5008738504232673,vgood
1.5005006589157197,1.1067568643051997,2.743649784205984,2.9740129598724447,1.0184899094168849,1.9325496573463663,acc,1.4979144479557849,1.1048270527009911,2.743358099668982,2.974036400332605,1.0186481004203192,1.9311120171204101,vgood
1.5000406246688707,1.1641224081533956,2.8505935953737644,2.3871706476130874,1.1658940837273004,1.993285453268355,acc,1.4981207274502588,1.163846288063019,2.850935975650542,2.387266345554027,1.165713034575414,1.9936338536321636,vgood
0.2737529384775581,2.5000627224728698,2.96648441291011,2.6589312990868184,1.9029333309718852,1.9573374768776024,acc,0.2759232556824679,2.4995540516058616,2.965685934338557,2.6608988984828152,1.9024811120040717,1.9565509192540778,vgood
0.500737992507956,0.2544192426978318,2.817035287947893,1.8734189580507445,1.0437321468396086,0.9610997418674856,acc,0.4997224037468892,0.2528578353422031,2.81511058089163,1.8753069957469337,1.0427596094801816,0.9630712810418137,good
2.9873452564805967,1.499212722996814,2.888524971320312,2.276031651963613,1.9413732782052933,1.9374207741543563,acc,2.9863998794206053,1.5000411022850606,2.8885584022742496,2.274470450188157,1.9412826917092791,1.9371011628066832,unacc
