Pclass,Sex,Age,SibSp,Parch,Fare,Survived,n_Pclass,n_Sex,n_Age,n_SibSp,n_Parch,n_Fare,n_Survived
2,0.0,77,0,0,44.64,0,1,0.0,77,0,0,44.64,1
2,0.0,78,1,0,259.16,0,1,0.0,78,1,0,259.17,1
2,0.0,12,0,0,511.48,0,1,0.0,12,0,0,511.48,1
3,1.0,2,1,1,308.48,0,3,0.0,2,1,1,308.48,1
2,0.0,14,0,0,404.36,0,1,0.0,14,0,0,404.35,1
2,0.0,77,0,0,140.08,0,1,0.0,77,0,0,140.07,1
3,1.0,3,1,2,91.08,0,3,0.0,3,1,2,91.08,1
1,0.0,1,0,0,1.38,0,2,0.0,1,0,0,1.38,1
2,0.0,79,0,0,472.69,0,1,0.0,79,0,0,472.69,1
3,1.0,7,1,0,196.66,0,3,0.0,7,1,0,196.66,1
